Date,closing value of DOW
2/15/1963  ,    686.07
2/18/1963  ,    688.96
2/19/1963  ,    686.83
2/20/1963  ,    682.06
2/21/1963  ,    681.64
2/25/1963  ,    674.61
2/26/1963  ,    675.28
2/27/1963  ,    670.8
2/28/1963  ,    662.94
3/1/1963  ,    659.72
3/4/1963  ,    667.04
3/5/1963  ,    667.16
3/6/1963  ,    668.08
3/7/1963  ,    671.43
3/8/1963  ,    672.43
3/11/1963  ,    674.02
3/12/1963  ,    675.2
3/13/1963  ,    677.66
3/14/1963  ,    673.73
3/15/1963  ,    676.33
3/18/1963  ,    673.56
3/19/1963  ,    672.06
3/20/1963  ,    677.12
3/21/1963  ,    675.57
3/22/1963  ,    677.83
3/25/1963  ,    678.17
3/26/1963  ,    680.38
3/27/1963  ,    684.73
3/28/1963  ,    682.47
3/29/1963  ,    682.52
4/1/1963  ,    685.86
4/2/1963  ,    684.27
4/3/1963  ,    690.51
4/4/1963  ,    697.12
4/5/1963  ,    702.43
4/8/1963  ,    706.03
4/9/1963  ,    706.03
4/10/1963  ,    704.35
4/11/1963  ,    708.45
4/15/1963  ,    711.38
4/16/1963  ,    710.92
4/17/1963  ,    710.25
4/18/1963  ,    708.16
4/19/1963  ,    711.68
4/22/1963  ,    711.01
4/23/1963  ,    714.98
4/24/1963  ,    717.74
4/25/1963  ,    718.33
4/26/1963  ,    717.16
4/29/1963  ,    715.11
4/30/1963  ,    717.7
5/1/1963  ,    719.67
5/2/1963  ,    721.09
5/3/1963  ,    718.08
5/6/1963  ,    713.77
5/7/1963  ,    712.55
5/8/1963  ,    718.54
5/9/1963  ,    721.97
5/10/1963  ,    723.3
5/13/1963  ,    723.01
5/14/1963  ,    719.84
5/15/1963  ,    724.34
5/16/1963  ,    722.84
5/17/1963  ,    724.81
5/20/1963  ,    720.18
5/21/1963  ,    724.04
5/22/1963  ,    722.84
5/23/1963  ,    721.38
5/24/1963  ,    720.53
5/27/1963  ,    718.25
5/28/1963  ,    717.95
5/29/1963  ,    722.5
5/31/1963  ,    726.96
6/3/1963  ,    726.27
6/4/1963  ,    726.49
6/5/1963  ,    725.93
6/6/1963  ,    726.87
6/7/1963  ,    722.41
6/10/1963  ,    716.49
6/11/1963  ,    718.38
6/12/1963  ,    723.36
6/13/1963  ,    721.43
6/14/1963  ,    722.03
6/17/1963  ,    718.21
6/18/1963  ,    718.9
6/19/1963  ,    719.84
6/20/1963  ,    718.85
6/21/1963  ,    720.78
6/24/1963  ,    718.42
6/25/1963  ,    716.32
6/26/1963  ,    708.99
6/27/1963  ,    706.03
6/28/1963  ,    706.88
7/1/1963  ,    701.35
7/2/1963  ,    708.94
7/3/1963  ,    713.36
7/5/1963  ,    716.45
7/8/1963  ,    710.66
7/9/1963  ,    714.09
7/10/1963  ,    712.12
7/11/1963  ,    709.76
7/12/1963  ,    707.7
7/15/1963  ,    703.28
7/16/1963  ,    702.12
7/17/1963  ,    699.72
7/18/1963  ,    695.9
7/19/1963  ,    693.89
7/22/1963  ,    688.74
7/23/1963  ,    687.84
7/24/1963  ,    690.88
7/25/1963  ,    687.71
7/26/1963  ,    689.38
7/29/1963  ,    690.71
7/30/1963  ,    696.42
7/31/1963  ,    695.43
8/1/1963  ,    694.87
8/2/1963  ,    697.83
8/5/1963  ,    702.55
8/6/1963  ,    707.06
8/7/1963  ,    703.92
8/8/1963  ,    704.18
8/9/1963  ,    708.39
8/12/1963  ,    710.27
8/13/1963  ,    711.13
8/14/1963  ,    714.95
8/15/1963  ,    718.55
8/16/1963  ,    719.32
8/19/1963  ,    718.81
8/20/1963  ,    717.27
8/21/1963  ,    715.72
8/22/1963  ,    718.47
8/23/1963  ,    723.14
8/26/1963  ,    724.17
8/27/1963  ,    719.88
8/28/1963  ,    725.07
8/29/1963  ,    726.4
8/30/1963  ,    729.32
9/3/1963  ,    732.02
9/4/1963  ,    732.92
9/5/1963  ,    737.98
9/6/1963  ,    735.37
9/9/1963  ,    732.92
9/10/1963  ,    737.43
9/11/1963  ,    740.34
9/12/1963  ,    740.26
9/13/1963  ,    740.13
9/16/1963  ,    738.46
9/17/1963  ,    740.13
9/18/1963  ,    737.86
9/19/1963  ,    743.22
9/20/1963  ,    743.6
9/23/1963  ,    740.43
9/24/1963  ,    745.96
9/25/1963  ,    743.69
9/26/1963  ,    736.95
9/27/1963  ,    737.98
9/30/1963  ,    732.79
10/1/1963  ,    738.33
10/2/1963  ,    737.94
10/3/1963  ,    744.25
10/4/1963  ,    745.06
10/7/1963  ,    743.86
10/8/1963  ,    743.9
10/9/1963  ,    739.83
10/10/1963  ,    740.56
10/11/1963  ,    741.76
10/14/1963  ,    741.84
10/15/1963  ,    742.19
10/16/1963  ,    748.45
10/17/1963  ,    750.77
10/18/1963  ,    750.6
10/21/1963  ,    752.31
10/22/1963  ,    747.21
10/23/1963  ,    746.48
10/24/1963  ,    751.8
10/25/1963  ,    755.61
10/28/1963  ,    759.39
10/29/1963  ,    760.5
10/30/1963  ,    755.19
10/31/1963  ,    755.23
11/1/1963  ,    753.73
11/4/1963  ,    749.22
11/6/1963  ,    744.03
11/7/1963  ,    745.66
11/8/1963  ,    750.81
11/11/1963  ,    753.77
11/12/1963  ,    750.21
11/13/1963  ,    751.11
11/14/1963  ,    747.04
11/15/1963  ,    740
11/18/1963  ,    734.85
11/19/1963  ,    736.65
11/20/1963  ,    742.06
11/21/1963  ,    732.65
11/22/1963  ,    711.49
11/26/1963  ,    743.52
11/27/1963  ,    741
11/29/1963  ,    750.52
12/2/1963  ,    751.91
12/3/1963  ,    751.82
12/4/1963  ,    755.51
12/5/1963  ,    763.86
12/6/1963  ,    760.25
12/9/1963  ,    759.08
12/10/1963  ,    759.25
12/11/1963  ,    757.21
12/12/1963  ,    757.43
12/13/1963  ,    760.17
12/16/1963  ,    761.64
12/17/1963  ,    766.38
12/18/1963  ,    767.21
12/19/1963  ,    763.86
12/20/1963  ,    762.08
12/23/1963  ,    758.3
12/24/1963  ,    756.86
12/26/1963  ,    760.21
12/27/1963  ,    762.95
12/30/1963  ,    759.9
12/31/1963  ,    762.95
1/2/1964  ,    766.08
1/3/1964  ,    767.68
1/6/1964  ,    769.51
1/7/1964  ,    771.73
1/8/1964  ,    774.46
1/9/1964  ,    776.55
1/10/1964  ,    774.33
1/13/1964  ,    773.12
1/14/1964  ,    774.49
1/15/1964  ,    774.71
1/16/1964  ,    776.13
1/17/1964  ,    775.69
1/20/1964  ,    773.03
1/21/1964  ,    776.44
1/22/1964  ,    781.31
1/23/1964  ,    782.86
1/24/1964  ,    783.04
1/27/1964  ,    785.34
1/28/1964  ,    787.78
1/29/1964  ,    782.6
1/30/1964  ,    783.44
1/31/1964  ,    785.34
2/3/1964  ,    784.72
2/4/1964  ,    783.3
2/5/1964  ,    783.04
2/6/1964  ,    786.41
2/7/1964  ,    791.59
2/10/1964  ,    788.71
2/11/1964  ,    792.16
2/12/1964  ,    794.82
2/13/1964  ,    794.42
2/14/1964  ,    794.56
2/17/1964  ,    796.19
2/18/1964  ,    795.4
2/19/1964  ,    794.91
2/20/1964  ,    796.99
2/24/1964  ,    797.12
2/25/1964  ,    796.59
2/26/1964  ,    799.38
2/27/1964  ,    797.04
2/28/1964  ,    800.14
3/2/1964  ,    802.75
3/3/1964  ,    805.72
3/4/1964  ,    804.7
3/5/1964  ,    803.77
3/6/1964  ,    806.03
3/9/1964  ,    807.18
3/10/1964  ,    809.39
3/11/1964  ,    813.87
3/12/1964  ,    814.22
3/13/1964  ,    816.22
3/16/1964  ,    816.48
3/17/1964  ,    818.16
3/18/1964  ,    820.25
3/19/1964  ,    819.36
3/20/1964  ,    814.93
3/23/1964  ,    813.6
3/24/1964  ,    811.43
3/25/1964  ,    813.16
3/26/1964  ,    815.91
3/30/1964  ,    815.29
3/31/1964  ,    813.29
4/1/1964  ,    816.08
4/2/1964  ,    820.87
4/3/1964  ,    822.99
4/6/1964  ,    824.76
4/7/1964  ,    822.77
4/8/1964  ,    824.19
4/9/1964  ,    821.35
4/10/1964  ,    821.75
4/13/1964  ,    821.31
4/14/1964  ,    822.95
4/15/1964  ,    825.43
4/16/1964  ,    825.65
4/17/1964  ,    827.33
4/20/1964  ,    824.54
4/21/1964  ,    826.45
4/22/1964  ,    823.57
4/23/1964  ,    821.66
4/24/1964  ,    814.89
4/27/1964  ,    811.87
4/28/1964  ,    816.7
4/29/1964  ,    812.81
4/30/1964  ,    810.77
5/1/1964  ,    817.1
5/4/1964  ,    823.83
5/5/1964  ,    826.63
5/6/1964  ,    828.18
5/7/1964  ,    830.17
5/8/1964  ,    828.57
5/11/1964  ,    827.07
5/12/1964  ,    827.38
5/13/1964  ,    825.78
5/14/1964  ,    824.45
5/15/1964  ,    826.23
5/18/1964  ,    821.31
5/19/1964  ,    817.28
5/20/1964  ,    820.11
5/21/1964  ,    819.8
5/22/1964  ,    820.87
5/25/1964  ,    820.25
5/26/1964  ,    818.92
5/27/1964  ,    817.94
5/28/1964  ,    820.56
6/1/1964  ,    818.56
6/2/1964  ,    813.78
6/3/1964  ,    811.79
6/4/1964  ,    802.48
6/5/1964  ,    806.03
6/8/1964  ,    800.31
6/9/1964  ,    805.54
6/10/1964  ,    807.53
6/11/1964  ,    811.25
6/12/1964  ,    809.39
6/15/1964  ,    813.56
6/16/1964  ,    818.16
6/17/1964  ,    823.35
6/18/1964  ,    823.98
6/19/1964  ,    825.25
6/22/1964  ,    826.38
6/23/1964  ,    822.7
6/24/1964  ,    827.01
6/25/1964  ,    827.48
6/26/1964  ,    830.99
6/29/1964  ,    830.94
6/30/1964  ,    831.5
7/1/1964  ,    838.06
7/2/1964  ,    841.47
7/6/1964  ,    844.24
7/7/1964  ,    844.94
7/8/1964  ,    845.45
7/9/1964  ,    845.13
7/10/1964  ,    847.51
7/13/1964  ,    845.55
7/14/1964  ,    843.63
7/15/1964  ,    844.8
7/16/1964  ,    847.47
7/17/1964  ,    851.35
7/20/1964  ,    849.39
7/21/1964  ,    846.95
7/22/1964  ,    847.65
7/23/1964  ,    846.48
7/24/1964  ,    845.64
7/27/1964  ,    841.05
7/28/1964  ,    837.35
7/29/1964  ,    838.67
7/30/1964  ,    839.37
7/31/1964  ,    841.1
8/3/1964  ,    840.35
8/4/1964  ,    832.77
8/5/1964  ,    833.05
8/6/1964  ,    823.4
8/7/1964  ,    829.16
8/10/1964  ,    829.35
8/11/1964  ,    828.08
8/12/1964  ,    834.08
8/13/1964  ,    838.52
8/14/1964  ,    838.81
8/17/1964  ,    840.21
8/18/1964  ,    842.83
8/19/1964  ,    841.76
8/20/1964  ,    838.71
8/21/1964  ,    838.62
8/24/1964  ,    837.31
8/25/1964  ,    832.2
8/26/1964  ,    829.21
8/27/1964  ,    835.25
8/28/1964  ,    839.09
8/31/1964  ,    838.48
9/1/1964  ,    844
9/2/1964  ,    845.08
9/3/1964  ,    846.02
9/4/1964  ,    848.31
9/8/1964  ,    851.91
9/9/1964  ,    855.57
9/10/1964  ,    859.5
9/11/1964  ,    867.13
9/14/1964  ,    866.24
9/15/1964  ,    862.54
9/16/1964  ,    864.18
9/17/1964  ,    868.67
9/18/1964  ,    865.12
9/21/1964  ,    871.58
9/22/1964  ,    872.47
9/23/1964  ,    871.95
9/24/1964  ,    872.98
9/25/1964  ,    874.71
9/28/1964  ,    875.46
9/29/1964  ,    875.74
9/30/1964  ,    875.37
10/1/1964  ,    872
10/2/1964  ,    872.65
10/5/1964  ,    877.15
10/6/1964  ,    875.14
10/7/1964  ,    873.78
10/8/1964  ,    874.9
10/9/1964  ,    878.08
10/12/1964  ,    877.57
10/13/1964  ,    876.21
10/14/1964  ,    875.18
10/15/1964  ,    868.44
10/16/1964  ,    873.54
10/19/1964  ,    876.21
10/20/1964  ,    881.5
10/21/1964  ,    879.72
10/22/1964  ,    877.01
10/23/1964  ,    877.62
10/26/1964  ,    877.01
10/27/1964  ,    875.98
10/28/1964  ,    871.16
10/29/1964  ,    871.86
10/30/1964  ,    873.08
11/2/1964  ,    875.51
11/4/1964  ,    873.82
11/5/1964  ,    873.54
11/6/1964  ,    876.87
11/9/1964  ,    874.57
11/10/1964  ,    870.64
11/11/1964  ,    873.59
11/12/1964  ,    874.62
11/13/1964  ,    874.11
11/16/1964  ,    880.1
11/17/1964  ,    885.39
11/18/1964  ,    891.71
11/19/1964  ,    888.71
11/20/1964  ,    890.72
11/23/1964  ,    889.29
11/24/1964  ,    887.61
11/25/1964  ,    882.4
11/27/1964  ,    882.12
11/30/1964  ,    875.43
12/1/1964  ,    864.43
12/2/1964  ,    867.16
12/3/1964  ,    870.79
12/4/1964  ,    870.93
12/7/1964  ,    873.99
12/8/1964  ,    870.69
12/9/1964  ,    863.81
12/10/1964  ,    863.14
12/11/1964  ,    864.34
12/14/1964  ,    860.65
12/15/1964  ,    857.45
12/16/1964  ,    860.08
12/17/1964  ,    863.57
12/18/1964  ,    868.73
12/21/1964  ,    869.74
12/22/1964  ,    870.36
12/23/1964  ,    868.02
12/24/1964  ,    868.16
12/28/1964  ,    867.01
12/29/1964  ,    862.18
12/30/1964  ,    868.69
12/31/1964  ,    874.13
1/4/1965  ,    869.78
1/5/1965  ,    875.86
1/6/1965  ,    879.68
1/7/1965  ,    884.36
1/8/1965  ,    882.6
1/11/1965  ,    883.22
1/12/1965  ,    885.89
1/13/1965  ,    886.85
1/14/1965  ,    887.18
1/15/1965  ,    891.15
1/18/1965  ,    895.21
1/19/1965  ,    896.27
1/20/1965  ,    895.31
1/21/1965  ,    893.26
1/22/1965  ,    893.59
1/25/1965  ,    896.46
1/26/1965  ,    897.84
1/27/1965  ,    899.52
1/28/1965  ,    900.95
1/29/1965  ,    902.86
2/1/1965  ,    903.68
2/2/1965  ,    903.77
2/3/1965  ,    906.3
2/4/1965  ,    904.06
2/5/1965  ,    901.57
2/8/1965  ,    897.89
2/9/1965  ,    901.24
2/10/1965  ,    892.92
2/11/1965  ,    881.88
2/12/1965  ,    888.47
2/15/1965  ,    885.32
2/16/1965  ,    881.35
2/17/1965  ,    882.93
2/18/1965  ,    883.69
2/19/1965  ,    885.61
2/23/1965  ,    891.96
2/24/1965  ,    897.84
2/25/1965  ,    899.9
2/26/1965  ,    903.48
3/1/1965  ,    899.76
3/2/1965  ,    901.91
3/3/1965  ,    900.76
3/4/1965  ,    897.75
3/5/1965  ,    895.98
3/8/1965  ,    896.84
3/9/1965  ,    894.07
3/10/1965  ,    892.39
3/11/1965  ,    896.51
3/12/1965  ,    900.33
3/15/1965  ,    899.85
3/16/1965  ,    898.9
3/17/1965  ,    899.37
3/18/1965  ,    896.55
3/19/1965  ,    895.79
3/22/1965  ,    896.12
3/23/1965  ,    898.69
3/24/1965  ,    900.56
3/25/1965  ,    898.34
3/26/1965  ,    891.66
3/29/1965  ,    887.82
3/30/1965  ,    889.05
3/31/1965  ,    889.05
4/1/1965  ,    890.33
4/2/1965  ,    893.38
4/5/1965  ,    893.23
4/6/1965  ,    891.9
4/7/1965  ,    892.94
4/8/1965  ,    897.9
4/9/1965  ,    901.29
4/12/1965  ,    906.36
4/13/1965  ,    908.01
4/14/1965  ,    912.86
4/15/1965  ,    911.91
4/19/1965  ,    912.76
4/20/1965  ,    911.96
4/21/1965  ,    910.71
4/22/1965  ,    915.06
4/23/1965  ,    916.41
4/26/1965  ,    916.86
4/27/1965  ,    918.16
4/28/1965  ,    918.86
4/29/1965  ,    918.71
4/30/1965  ,    922.31
5/3/1965  ,    922.11
5/4/1965  ,    928.22
5/5/1965  ,    932.22
5/6/1965  ,    933.52
5/7/1965  ,    932.52
5/10/1965  ,    931.47
5/11/1965  ,    930.92
5/12/1965  ,    934.17
5/13/1965  ,    938.87
5/14/1965  ,    939.62
5/17/1965  ,    930.67
5/18/1965  ,    930.62
5/19/1965  ,    932.12
5/20/1965  ,    927.27
5/21/1965  ,    922.01
5/24/1965  ,    914.21
5/25/1965  ,    921
5/26/1965  ,    917.16
5/27/1965  ,    913.22
5/28/1965  ,    918.04
6/1/1965  ,    908.53
6/2/1965  ,    904.06
6/3/1965  ,    899.22
6/4/1965  ,    900.87
6/7/1965  ,    902.15
6/8/1965  ,    889.05
6/9/1965  ,    879.84
6/10/1965  ,    876.49
6/11/1965  ,    881.7
6/14/1965  ,    868.71
6/15/1965  ,    874.57
6/16/1965  ,    878.07
6/17/1965  ,    883.06
6/18/1965  ,    879.17
6/21/1965  ,    874.12
6/22/1965  ,    875.43
6/23/1965  ,    870.22
6/24/1965  ,    857.76
6/25/1965  ,    854.36
6/28/1965  ,    840.59
6/29/1965  ,    851.4
6/30/1965  ,    868.03
7/1/1965  ,    871.59
7/2/1965  ,    875.16
7/6/1965  ,    873.18
7/7/1965  ,    870.77
7/8/1965  ,    877.85
7/9/1965  ,    879.49
7/12/1965  ,    877.96
7/13/1965  ,    876.97
7/14/1965  ,    883.23
7/15/1965  ,    880.98
7/16/1965  ,    880.43
7/19/1965  ,    880.26
7/20/1965  ,    868.79
7/21/1965  ,    865.01
7/22/1965  ,    861.77
7/23/1965  ,    863.97
7/26/1965  ,    867.26
7/27/1965  ,    863.53
7/28/1965  ,    867.92
7/29/1965  ,    874.23
